imdbID,Title,Year,Rating,Directors,Writers,Composers,Cast,IMDbRating,Metascore,OriginCountry,OriginalLanguage
377092,Mean Girls,2004,4.0,Mark Waters,Tina Fey,Rolfe Kent,"Lindsay Lohan, Rachel McAdams, Lizzy Caplan, Lacey Chabert, Amanda Seyfried, Daniel Franzese, Jonathan Bennett, Rajiv Surendra, Tina Fey, Tim Meadows, Ana Gasteyer, Neil Flynn, Amy Poehler, Dwayne Hill, Diego Klattenhoff, Molly Shanahan, Elana Shilling, Graham Kartna, Ely Henry, David Aherne, Ayo Agbonkpolo, Jonathan Malen, Jeff Moser, Miranda Edwards, Les Porter, Eve Crawford, Jack Newman, Michelyn Emelle, Bathsheba Garnett, Ky Pham, Danielle Nguyen, Daniel DeSanto, Alisha Morrison, Chris Anton, Jan Caruana, Wai Choy, Julia Chantrey, Jacky Chamberlain, Olympia Lukis, Stefanie Drummond, Kristen Bone, Jessie Wright, Tyson Fennell, Stephan Dickson, Andreja Punkris, Noelle Boggio, Jordan Dawe, Alexandra Stapley, Laura de Carteret, Nicole Crimi, Erin Norah Thompson, Dan Willmott, Michelle Hoffman, Valerie Casault, Sharron Matthews, Jo Chim, Randi Lee Butcher, Erin Jarvis, Kaylen Christensen, Jill Morrison, David Sazant, Clare Preuss, Bruce Hunter, Megan Millington, Tara Shelley, Shannon Todd, David Reale, Krysta Carter",7.1,66.0,United States,English
1392214,Prisoners,2013,4.0,Denis Villeneuve,Aaron Guzikowski,Jóhann Jóhannsson,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, Dylan Minnette, Zoë Soul, Erin Gerasimovich, Kyla-Drew, Wayne Duvall, Len Cariou, David Dastmalchian, Brad James, Anthony Reynolds, Robert C. Treveiler, Sandra Ellis Lafferty, Victoria Staley, Todd Truley, Brian Daye, Alisa Harris, Robert Mello, Jeff Pope, Rodrick Goins, Mark Drum, Lana Yoo, Pam Smith, Gloria Webber, Michelle Keller, John Atwood, Stacy Melich, J. Omar Castro, Jane McNeill, Dennis Christopher, Takara Clark, Jason Davis, Katrina Despain, Brody Rose",8.2,70.0,United States,English
9639470,Last Night in Soho,2021,3.0,Edgar Wright,"Krysty Wilson-Cairns, Edgar Wright",Steven Price,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Rita Tushingham, Michael Ajao, Synnøve Karlsen, Pauline McLynn, Terence Stamp, Diana Rigg, Aimée Cassettari, Colin Mace, Jessie Mei Li, Kassius Nelson, Rebecca Harrod, Alan Mahon, Connor Calland, Josh Zaré, Jacqui-Lee Pryce, Elizabeth Berrington, James Phelps, Oliver Phelps, Beth Singh, Paul Brightwell, Will Rogers, Terence Frisch, Celeste Dring, Jeanie Wishes, Andrew Bicknell, Adam Sopp, Richard Corgan, Michael Mears, Tom Hartwell, Paul Hamilton, Wayne Cater, Sam Claflin, Sam Parks, Alan Ruscoe, Margaret Nolan, Christopher Carrico, Kent Goldfinch, Ian Harrod, Ian Hartley, Daniel Maggott, Richard O'Sullivan, Michael Jibson, Lisa McGrillis, Al Roberts, Derek Lea, Lati Gbaja, Paul Riddell, Katrina Vasilieva, Ashley Shaw",7.0,65.0,United Kingdom,English
421715,The Curious Case of Benjamin Button,2008,4.0,David Fincher,Eric Roth,Alexandre Desplat,"Brad Pitt, Cate Blanchett, Taraji P. Henson, Julia Ormond, Jason Flemyng, Tilda Swinton, Mahershala Ali, Jared Harris, Elias Koteas, Phyllis Somerville, Faune Chambers Watkins, Donna DuPlantier, Jacob Tolano, Earl Maddox, Ed Metzger, Danny Vinson, David Jensen, Joeanna Sayler, Fiona Hale, Patrick Thomas O'Brien, Marion Zinser, Peter Donald Badalamenti II, Danny Nelson, Paula Gray, Lance E. Nichols, Rampai Mohadi, Troi Bechet, Elle Fanning, Ted Manson, Clay Cullen, Edith Ivey, Robert Towers, Sonya Leslie, Yasmine Abriel, Madisen Beaty, Tom Everett, Don Creech, Christopher DesRoches, Joshua Desroches, Richmond Arquette, Josh Stewart, Ilia Volok, David Ross Paterson, Taren Cunningham, Myrton Running Wolf, Stephen Monroe Taylor, Devyn A. Tyler, Adrian Armas, Wilbur Fitzgerald, Ashley Nolan, Louis Herthum, Katta Hules, Rus Blackwell, Joel Bissonnette, Deneen Tyler, Spencer Daniels, Chandler Canterbury, Charles Henry Wyson, Jessica Cropper, Katherine Crockett, Bianca Roe, Emma Degerstedt, Megan Brown, Clay Chamberlin, Leslie Augustine, Blake Balu, Aliane Baquerot, Brett Beoubay, Allen Boudreaux, Eve Brent, David E. Brown, Jake Carpenter, Walter Delmar, Louis Dupuy, Marian Filali, Ron Flagge, Joe Fontana, Garrett Forbes, Tiffany Forest, Debby Gaudet, Simone-Elise Girard, Geraldine Glenn, Zuri Goldman, Malerie Grady, Bob Harter, Rhonda Huete, Grant James, Christopher Karl Johnson, Shiloh Jolie, Spencer Kayden, Jonathan Lane, Shane LeCocq, Kevin Lorio, Audrey Lynn, Angelina McCoy, Harlon Miller, Valeska Miller, Jay Oliver, Antonia Putiloff, Sean Ross",7.8,70.0,United States,English
1396484,It,2017,3.0,Andy Muschietti,"Cary Joji Fukunaga, Chase Palmer, Gary Dauberman",Benjamin Wallfisch,"Bill Skarsgård, Sophia Lillis, Jaeden Martell, Jack Dylan Grazer, Finn Wolfhard, Jeremy Ray Taylor, Wyatt Oleff, Chosen Jacobs, Nicholas Hamilton, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes, Owen Teague, Molly Atkinson, Jake Sim, Logan Thompson, Katie Lunman, Geoffrey Pounsett, Pip Dwyer, Steven Williams, Elizabeth Saunders, Megan Charpentier, Joe Bostick, Ari Cohen, Anthony Ulc, Javier Botet, Carter Musselman, Tatum Lee, Edie Inksetter, Martha Gibson, Kasie Rayner, Isabelle Nélisse, Jocelyn Mattka, Donald Tripe, Liz Gordon, Paige Rosamond, Neil Crone, Sonia Gascón, Janet Porter, Memo Díaz Capt., Chantal Vachon, Roberto Campanella, Cyndy Day, David Katzenberg, Bobby Leigh, Kate Moyer, Sherry Nelson, Jimmy Star, Kelly Van der Burg, James Magwood",7.3,69.0,United States,English
1051906,The Invisible Man,2020,3.5,Leigh Whannell,Leigh Whannell,Benjamin Wallfisch,"Elisabeth Moss, Aldis Hodge, Storm Reid, Michael Dorman, Harriet Dyer, Oliver Jackson-Cohen, Benedict Hardie, Zara Michales, Renee Lim, Sam Smith, Nick Kici, Vivienne Greer, Anthony Brandon Wong, Serag Mohammed, Nash Edgerton, Nicholas Hope, Cardwell Lynch, Xavier Fernández, Cleave Williams, Brian Meegan, Amali Golden, Dennis Kreusler, Michael Knott, Randolph Fields",7.1,72.0,United States,English
3783958,La La Land,2016,4.5,Damien Chazelle,Damien Chazelle,Justin Hurwitz,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer, Olivia Hamilton, Anna Chazelle, Marius de Vries, Finn Wittrock, Josh Pence, Nicole Coulon, Damon Gupton, Christopher Michael Stevens, Keith Harris, Kaveh Rastegar, David Douglas, Miles Anderson, Bobo Chang, Meagen Fay, John Hindman, Valarie Rae Miller, Nicole Wolf, Corrin Evans, Kiff VandenHeuvel, Tom Everett Scott, Hemky Madera, Zoë Hall, Dempsey Pappion, Clifton 'Fou Fou' Eddie, Cal Bennett, Nedra Wheeler, Javier Gonzalez, Khirye Tyler, Briana Lee, Shaylah J. Stevens, Natalie Imani, Camryn Ray Cavaliero, Sandra Rosko, Arthur Horowitz, Reshma Gajjar, Candice Coke, Hunter Hamilton, Damian Gomez, Amanda Balen, Lou Becker, Dominic Chaiduang, Cindera Che, Chris Moss, Marissa Labog, Tiffany Daniels, Melinda Sullivan, Stephanie Landwehr, Britt Stewart, Clarice Ordaz, Nathan Prevost, Mecca Vazie Andrews, Scott Hislop, KC Monnie, Krystal Ellsworth, Sarah Mitchell, Khasan Brailsford, Morgan Larson, Becca Sweitzer, Gakenia Muigai, Michael Stein, Mario Diaz, Julie Schmid, Samantha Abrantes, Lexie Contursi, Eartha Robinson, Sybil Azur, Tara Nicole Hughes, Kayla Kalbfleisch, Martha Nichols, Anthony Marciona, Bill Prudich, Robert Roldan, Ryan Novak, Demian Boergadine, Gustavo Vargas, Robert Haynes, Doran Butler, Matt Cady, Carol Connors, Patrick Cook, Aaron 'Deuce' Cooke, Bubba Dean Rambo, Nick Drago, Shaun Evaristo",8.0,94.0,United States,English
1041829,The Proposal,2009,2.0,Anne Fletcher,Peter Chiarelli,Aaron Zigman,"Sandra Bullock, Ryan Reynolds, Malin Åkerman, Craig T. Nelson, Mary Steenburgen, Betty White, Denis O'Hare, Oscar Nuñez, Aasif Mandvi, Michael Nouri, Gregg Edelman, Michael Mosley, Dale Place, Alicia Hunt, Alexis Garcia, Kortney Adams, Chris Whitney, Jerrell Lee Wesley, Phyllis Kay, Kate Lacey, Gene Fleming, Mary Linda Rapelye, Anne Fletcher, B. Johnson, John Franchi, Dan Griffin, London Hall, Dan Marshall, Ron Murphy, Niecy Nash-Betts, Thomas Olson, Donna Glee Reim, Rich Skinner, Ylian Alfaro Snyder, Uzimann, Larry Vigus",6.8,48.0,United States,English
195685,Erin Brockovich,2000,4.0,Steven Soderbergh,Susannah Grant,Thomas Newman,"Julia Roberts, Albert Finney, Aaron Eckhart, Marg Helgenberger, Cherry Jones, Veanne Cox, Conchata Ferrell, Tracey Walter, Peter Coyote, Michael Harney, Scarlett Pomers, Scotty Leavenworth, Gina Gallego, T.J. Thyne, Valente Rodriguez, Erin Brockovich, David Brisbin, Dawn Didawick, George Rocky Sullivan, Pat Skipper, Jack Gill, Irene Olga López, Emily Marks, Julie Marks, Gemmenne de la Peña, Adilah Barnes, Irina V. Passmoore, Ron Altomare, Charles John Bukey, Randy Lowell, Jamie Harrold, Sarah Ashley, Joe Chrest, Meredith Zinner, William Lucking, Mimi Kennedy, Scott Sowers, Kristina Malota, Wade Williams, Cordelia Richards, Ashley Pimental, Brittany Pimental, Larry Martinez, LeRoy A. Simmons, Don Snell, Michael Shamberg, Ronald E. Hairston, Scott Allen, Sheila Shaw, Matthew Kimbrough, Jason Cervantes, Spencer Kayden, Norma Maldonado, Mike Malone, Tom Tangen, Julie Wagner",7.5,73.0,United States,English
829482,Superbad,2007,3.0,Greg Mottola,"Evan Goldberg, Seth Rogen",Lyle Workman,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader, Seth Rogen, Martha MacIsaac, Emma Stone, Aviva Baumann, Joe Lo Truglio, Kevin Corrigan, Clement Blake, Erica Vittina Phillips, Joe Nuñez, Dave Franco, Marcella Lentz-Pope, Scott Gerbacia, Laura Seay, Roger Iwami, Clint Mabry, Stacy Edwards, Mark Rogen, Charlie Hartsock, Dona Hardy, Charley Rossman, Carla Gallo, Ben Best, Jody Hill, Kevin Breznahan, David Krumholtz, Mousa Kraish, Nicholas Jasenovec, Martin Starr, Keith Loneker, Matthew McKane, Lauren Miller Rogen, Peter Salett, Rakefet Abergel, Brooke Dillman, Michael Naughton, Steve Bannos, Casey Margolis, Laura Marano, Matthew Bass, Aurora Snow, Jenna Haze, Ted Haigh, Michael Fennessey, Brian Huskey, Clark Duke, Stephen Borrello IV, Naathan Phan, Pamella D'Pella, Danny McBride, Cortney Palm",7.6,76.0,United States,English
405422,The 40 Year Old Virgin,2005,4.0,Judd Apatow,"Judd Apatow, Steve Carell",Lyle Workman,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco, Seth Rogen, Elizabeth Banks, Leslie Mann, Jane Lynch, Gerry Bednob, Shelley Malil, Kat Dennings, Jordan Masterson, Chelsea Smith, Jonah Hill, Erica Vittina Phillips, Marika Domińczyk, Mindy Kaling, Mo Collins, Gillian Vigman, Kimberly Page, Siena Goines, Charlie Hartsock, Nancy Carell, Cedric Yarbrough, David Koechner, Jeff Kahn, Nick Lashaway, Loren Berman, Julian Foster, Loudon Wainwright III, Lee Weaver, Gloria Helena Jones, Jazzmun, Miki Mia, Denise Meyerson, Shannon Bradley, Brianna Brown, Liz Carey, Elizabeth DeCicco, Hilary Shepard, Barret Swatek, Carla Gallo, Michael Bierman, Marisa Guterman, Stormy Daniels, Kevin Hart, Wayne Federman, Ron Marasco, Joseph T. Mastrolia, Kate Luyben, Joe Nuñez, Matthew McKane, Rose Abdoo, Steve Bannos, Brooke Hamlin, Miyoko Shimosawa, Marilyn Dodds Frank, Ann Christine, Brandon Killham, Nicole Randall Johnson, Suzy Nakamura, Jenna Fischer, Stephanie Lemelin, Jamie Elle Mann, Leah McCormick, Samantha J. Reese, Brittney Skye, Wyatt Smith, Kira Turnage, Penny Vital, Christa Nicole Wells, Amy Rider",7.1,73.0,United States,English
6751668,Parasite,2019,5.0,Bong Joon Ho,"Bong Joon Ho, Han Jin-won",Jung Jae-il,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Jang Hye-jin, Park Myung-hoon, Jung Ji-so, Jung Hyeon-jun, Park Keun-rok, Jung Yi-seo, Cho Jae-myung, Jeong Ik-han, Kim Kyu-baek, Ahn Seong-bong, Yoon Young-woo, Park Jae-wook, Lee Dong-yong, Jeon Eun-mi, Kim Geon, Lee Joo-hyung, Lee Ji-hye, Kim Bo-ryeong, Park Hye-sook, Baek Seung-hwan, Riccardo Ferraresso, Ko Kwan-jae, Lee Si-hoon, Seo Bok-hyeon, Shim Soo-mi, Yoon Hye-ree, Andreas Fronk, Anna Elisabeth Rihlmann, Rosie Peralta, Shin Seung-min, Park Seo-jun, Kwak Sin-ae, Choi Jeong-hyun, Kim Ha-eon, Lee Eun-hee, Choi Ji-won, Park Jae-wan, Hwang In-gyeong, Kim Yeong-jo, Kim Jung-woo, Lee Sang-kyung, Lee Si-hoo, Ahn Jin-sang",8.5,97.0,South Korea,Korean
147800,10 Things I Hate About You,1999,3.5,Gil Junger,"Karen McCullah, Kirsten Smith",Richard Gibbs,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston, Cameron Fraser, Eric Riedmann, Quinn Maixner, Demegio Kimbrough, Todd Butler, Dennis Mosley, Bianca Kajlich, Nick Vukelic, Ben Laurance, Aidan Kennedy, Jelani Quinn, Jesse Dyer, Aaron Therol, Carlos Lacámara, Heather Taylor, Joshua Thorpe, J.R. Johnson, Wendy Gottlieb, Brian Hood, Travis Muller, Ari Karczag, Laura Kenny, Alice Evans, Jesper Inglis, Nick Brown, Monique Powell, Brian Mashburn, Kay Hanley, Michael Eisenstein",7.4,70.0,United States,English
3659388,The Martian,2015,4.5,Ridley Scott,Drew Goddard,Harry Gregson-Williams,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels, Michael Peña, Sean Bean, Kate Mara, Sebastian Stan, Aksel Hennie, Chiwetel Ejiofor, Benedict Wong, Mackenzie Davis, Donald Glover, Nick Mohammed, Chen Shu, Eddy Ko Hung, Enzo Cilenti, Jonathan Aris, Gruffudd Glyn, Geoffrey Thomas, Yang Haiwen, Narantsogt Tsogtsaikhan, Brian Caspe, Szonja Oroszlán, Mark O'Neal, Karen Gagnon, Lili Bordán, Nikolett Barabas, Dilyana Bouklieva, Björn Freiberg, James Fred Harkins Jr., Sam Spruell, Matt Devere, Mike Kelly, Greg De Cuir, Peter Linka, Declan Hannigan, Peter Schueller, Waleska Latorre, Frederik Pleitgen, Charlie Gardner, Nóra Lili Hörich, Kamilla Fátyol, Yang Liu, Richard Rifkin, Nicholas Wittman, Ben O'Brien, Scott Alexander Young, Jason Ryan, James Dougherty, Xue Xuxing, Balázs Medveczky, Dora Endre, Naomi Scott",8.0,80.0,United States,English
79470,Life of Brian,1979,4.0,Terry Jones,"Graham Chapman, Eric Idle, John Cleese, Terry Gilliam, Terry Jones, Michael Palin",Geoffrey Burgon,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin, Terence Bayler, Carol Cleveland, Kenneth Colley, Neil Innes, Charles McKeown, John Young, Gwen Taylor, Sue Jones-Davies, Peter Brett, John Case, Chris Langham, Andrew MacLachlan, Bernard McKenna, Spike Milligan, George Harrison, Charles Knode",8.0,77.0,United Kingdom,English
