imdbID,Title,Year,Directors,Writers,Composers,Cast,IMDbRating,Metascore,OriginCountry,OriginalLanguage
15398776,Oppenheimer,2023,Christopher Nolan,Christopher Nolan,Ludwig Göransson,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh, Josh Hartnett, Casey Affleck, Rami Malek, Kenneth Branagh, Benny Safdie, Jason Clarke, Dylan Arnold, Tom Conti, James D'Arcy, David Dastmalchian, Dane DeHaan, Alden Ehrenreich, Tony Goldwyn, Jefferson Hall, David Krumholtz, Matthew Modine, Scott Grimes, Kurt Koehler, John Gowans, Macon Blair, Harry Groener, Gregory Jbara, Ted King, Tim DeKay, Steven Houska, Petrie Willink, Matthias Schweighöfer, Alex Wolff, Josh Zuckerman, Rory Keane, Michael Angarano, Emma Dumont, Sadie Stratton, Britt Kyle, Guy Burnet, Tom Jenkins, Louise Lombard, Michael Andrew Baker, Jeff Hephner, Olli Haaskivi, David Rysdahl, Josh Peck, Jack Quaid, Brett DelBuono, Gustaf Skarsgård, James Urbaniak, Trond Fausa Aurvåg, Devon Bostick, Danny Deferrari, Christopher Denham, Jessica Erin Martin, Ronald Auguste, Máté Haumann, Olivia Thirlby, Jack Cutmore-Scott, Harrison Gilbertson, James Remar, Will Roberts, Pat Skipper, Steve Coulter, Jeremy John Wells, Sean Avery, Adam Kroeger, Drew Kenney, Bryce Johnson, Flora Nolan, Kerry Westcott, Christina Hogue, Clay Bunker, Tyler Beardsley, Maria Teresa Zuppetta, Kate French, Gary Oldman, Hap Lawrence, Meg Schimelpfenig",8.3,90.0,United States,English
468569,The Dark Knight,2008,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Hans Zimmer, James Newton Howard","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall, Keith Szarabajka, Colin McFarlane, Joshua Harto, Melinda McGraw, Nathan Gamble, Michael Vieau, Michael Stoyanov, William Smillie, Danny Goldring, Michael Jai White, Matthew O'Neill, William Fichtner, Olumiji Olawumi, Greg Beam, Erik Hellman, Beatrice Rosen, Vincenzo Nicoli, Edison Chen, Nydia Rodriguez Terracina, Andy Luther, James Farruggio, Tom McElroy, Will Zahrn, James Fierro, Patrick Leahy, Sam Derence, Jennifer Knox, Patrick Clear, Sarah Jayne Dunn, Charles Venn, Winston Ellis, David Dastmalchian, Sophia Hinshelwood, Keith Kupferer, Joseph Luis Caballero, Richard Dillane, Daryl Satcher, Chris Petschler, Aidan Feore, Philip Bulcock, Paul Birchard, Walter Lewis, Vincent Riotta, Nancy Crane, K. Todd Freeman, Matt Shallenberger, Michael Andrew Gorman, Lanny Lutz, Peter DeFaria, Matt Rippy, Andrew Bicknell, Ariyon Bakare, Doug Ballard, Helene Maksoud, Tommy Campbell, Craig Heaney, Sutara Gayle, Lisa McAllister, Peter Brooke, Joshua Rollins, Dale Rivera, Matthew Leitch, Tommy Lister Jr., Thomas Gaitsch, William Armstrong, Adam Kalesperis, Tristan Tait, Bronson Webb, David Ajala, Gertrude Kyles, Jonathan Ryland, James Scales, Nigel Carrington, Ian Pirie, Lateef Lovejoy, Grahame Edwards, Roger Monk, Ronan Summers, Wai Wong, Michael Corey Foster, Hannah Gunn, Brandon Lambdin, Matt Skiba, Jon Lee Brody, Debbi Burns",9.1,85.0,United States,English
1375666,Inception,2010,Christopher Nolan,Christopher Nolan,Hans Zimmer,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Talulah Riley, Tohoru Masamune, Taylor Geare, Claire Geare, Johnathan Geare, Yuji Okumoto, Earl Cameron, Ryan Hayward, Miranda Nolan, Russ Fega, Tim Kelleher, Coralie Dedykere, Silvie Laguna, Virgile Bramly, Nicolas Clerc, Jean-Michel Dagory, Marc Raducci, Tai-Li Lee, Magnus Nolan, Helena Cullinan, Mark Fleischmann, Shelley Lang, Adam Cole, Jack Murray, Kraig Thornber, Angela Nathenson, Natasha Beaumont, Carl Gilliard, Jill Maddrell, Alex Lombard, Nicole Pulliam, Peter Basham, Michael Gaston, Felix Scott, Andrew Pleavin, Lisa Reynolds, Jason Tendell, Jack Gilroy, Shannon Welles, Daniel Girondeaud",8.8,74.0,United Kingdom,English
9362722,Spider-Man: Across the Spider-Verse,2023,"Kemp Powers, Justin K. Thompson, Joaquim Dos Santos","Phil Lord, Christopher Miller, David Callaham",Daniel Pemberton,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson, Oscar Isaac, Jason Schwartzman, Issa Rae, Daniel Kaluuya, Karan Soni, Shea Whigham, Greta Lee, Mahershala Ali, Amandla Stenberg, Jharrel Jerome, Andy Samberg, Jack Quaid, Rachel Dratch, Ziggy Marley, Jorma Taccone, J.K. Simmons, Donald Glover, Elizabeth Perkins, Kathryn Hahn, Ayo Edebiri, Nicole Delaney, Antonina Lentini, Atsuko Okatsuka, Peter Sohn, Melissa Sturm, Lorraine Velez, Nic Novicki, Taran Killam, Metro Boomin, Josh Keaton, Sofia Barclay, Danielle Perez, Yuri Lowenthal, Rita Rani Ahuja, Ismail Bashey, Oscar Camacho, Freddy Ferrari, Kerry Gutierrez, Kamal Khan, Angelo Sekou Kouyate, Andrew Leviton, David Michie, Sumit Naig, Juan Pacheco, Chrystee Pharris, Ben Pronsky, Al Rodrigo, Stan Sellers, Warren Sroka, Jasper Johannes Andrews, Gredel Berrios Calladine, Natalia Castellanos, Russell Tyre Francis, Deepti Gupta, Sohm Kapila, Pradnya Kuwadekar, Ashley London, Christopher Miller, Andrea Navedo, Lakshmi Patel, Jacqueline Pinol, Eliyas Qureshi, Lashana Rodriguez, Jaswant Dev Shrestha, Libby Thomas Dickey, Jason Linere-White, Sitara Attaie, Mayuri Bhandari, June Christopher, Michelle Jubilee Gonzalez, Marabina Jaimes, Rez Kempton, Lex Lang, Phil Lord, Richard Miro, Doug Nicholas, Shakira Ja'nai Paye, James Pirri, Marley Ralph, Michelle Ruff, Dennis Singletary, Amanda Troop, Ruth Zalduondo, Kimberly Bailey, Sanjay Chandani, Melanie Duke, Jorge R. Gutierrez, Miguel Jiron, Deepti Kingra-Mickelsen, Luisa Leschin, Caitlin McKenna, Andrew Morgado, Arthur Ortiz, Eliana A. Perez, Juan Pope",8.5,86.0,United States,English
10872600,Spider-Man: No Way Home,2021,Jon Watts,"Chris McKenna, Erik Sommers",Michael Giacchino,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire, Angourie Rice, Arian Moayed, Paula Newsome, Hannibal Buress, Martin Starr, JB Smoove, J.K. Simmons, Rhys Ifans, Charlie Cox, Thomas Haden Church, Haroon Khan, Emily Fong, Mary Rivera, Rudy Eisenzopf, Kathleen Cardoso, Jonathan Sam, Andrew Dunlap, Zany Dunlap, B. Clutch Dunlap, Minnah Dunlap, Ben VanderMey, Gary Weeks, Gregory Konow, Carol Anne Dines, Anisa Nyell Johnson, Willie D. Burton, Mallory Hoff, Greg Clarkson, Regina Ting Chen, Robert Mitchel Owenby, Glenn Keogh, Paris Benjamin, Jwaundace Candece, Taylor St. Clair, Rolando Fernandez, Gabriella Cila, Darnell Appling, Edward Force, Michael Le, Dean Meminger, Frederick A. Brown, Cristo Fernández, Clay Savage, Tom Hardy, Jay Karales, Harry Holland, John M. Maiers, Robert Tinsley, Cole Failing, Justin East",8.2,71.0,United States,English
120382,The Truman Show,1998,Peter Weir,Andrew Niccol,"Burkhard von Dallwitz, Philip Glass, Wojciech Kilar","Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor, Ed Harris, Paul Giamatti, Brian Delate, Peter Krause, Blair Slater, Heidi Schanz, Una Damon, Krista Lynn Landolfi, O-Lan Jones, Ron Taylor, Don Taylor, Ted Raymond, Harry Shearer, Jeanette Miller, Philip Glass, Joe Minjares, Philip Baker Hall, John Pleshette, Terry Camilleri, Joel McKinnon Miller, Judy Clayton, Fritz Dominique, Angel Schmiedt, Nastassja Schmiedt, Muriel Moore, Mal Jones, Judson Vaughn, Earl Hilliard Jr., David Andrew Nash, Jim Towers, Savannah Swafford, Antoni Corone, Mario Ernesto Sánchez, John Roselius, Kade Coates, Marcia DeBonis, Sam Kitchin, Sebastian Youngblood, Dave Corey, Mark Alan Gillott, Jay Saiter, Tony Todd, Marco Rubeo, Daryl Davis, Robert Davis, R.J. Murdock, Matthew McDonough, Larry McDowell, Joseph Lucus, Logan Kirksey, Adam Tomei, John Pramik, Al Foster, Zoaunne LeRoy, Millie Slavin, Dona Hardy, Tom Simmons, Susan Angelo, Carly Smiga, Yuji Okumoto, Kiyoko Yamaguchi, Saemi Nakamura, Sergio Kato, Jake Eberle, Marc Macaulay, Melissa Fitzgerald",8.2,90.0,United States,English
993846,The Wolf of Wall Street,2013,Martin Scorsese,Terence Winter,,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Bernthal, Jon Favreau, Jean Dujardin, Joanna Lumley, Cristin Milioti, Christine Ebersole, Shea Whigham, Katarina Čas, P.J. Byrne, Kenneth Choi, Brian Sacca, Henry Zebrowski, Ethan Suplee, Barry Rothbart, Jake Hoffman, Mackenzie Meehan, Bo Dietl, Jon Spinogatti, Aya Cash, Rizwan Manji, Stephanie Kurtzuba, J.C. MacKenzie, Ashlie Atkinson, Thomas Middleditch, Stephen Kunken, Edward Herrmann, Jordan Belfort, Ted Griffin, Fran Lebowitz, Robert Clohessy, Natasha Newman-Thomas, Sandra Nelson, Johnnie Mae, Christina Jeffs, Sabina Maschi, Zana Markelson, Welker White, Danny Flaherty, Carla Corvo, Dustin Kerns, Ashley Blankenship, Madison McKinley, Dierdre Reimold, Kerry Malloy, Frank van Putten, Aaron Lazar, Steve Routman, Steve Witting, Charley Morgan, Michael Nathanson, Natalie Bensel, Tess Olivia, Jaclyn Keys, Krista Ashworth, Kathleen Fellegara, John Bernard Martin, Jamel Daniels, Dan Bittner, John Behlmann, Ward Horton, Bret Shuford, Paul Monte Jr., Ellen Sexton, Brian Tweedy, J.T. O'Connor, Steven Boyer, Danny A. Abeckaser, Tracy Friedman, Matthew Rauch, Michael Izquierdo, Donnie Keshawarz, Johnathan Tchaikovsky, Aaron Glaser, Ben Rameaka, Ben Loving, Brian Charles Johnson, Sebastian Tillinger, Chris Riggi, Dan Hunter, Meghan Rafferty, José Ramón Rosario, Davram Stiefler, Dan Daily, Ben Van Bergen, Matte Osian, Michael Devine, Jason Furlani, Scott Nicholson, Jeremy Bobb, Dean Auer, Tom Greer, Sharon Jones, Starr Duncan-Lowe, Saundra Williams",8.2,75.0,United States,English
144084,American Psycho,2000,Mary Harron,"Guinevere Turner, Mary Harron",John Cale,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey, Blair Williams, Marie Dame, Kelley Harron, Patricia Gage, Krista Sutton, Landy Cannon, Park Bench, Catherine Black, Margaret Ma, Peter Tufford Kennedy, Mark Pawson, Jessica Lau, Lilette Wiens, Glen Marc Silot, Charlotte Hunter, Kiki Buttignol, Joyce R. Korbin, Reuben Thompson, Bryan Renfro, Ross Gibby, Christina McKay, Alan McCullough, Anthony Lemke, Connie Chen, Brett Alexander Davidson, Peter Loung, Joseph Oliveira, Leanne Poirier Greenfield, Somaya Reece, Kate Steen, Ronald Reagan",7.6,64.0,United States,English
9764362,The Menu,2022,Mark Mylod,"Seth Reiss, Will Tracy",Colin Stetson,"Anya Taylor-Joy, Ralph Fiennes, Nicholas Hoult, Janet McTeer, Paul Adelstein, Rob Yang, Aimee Carrero, John Leguizamo, Arturo Castro, Reed Birney, Hong Chau, Judith Light, Mark St. Cyr, Rebecca Koon, Peter Grosz, Christina Brucato, Adam Aalderks, Jon Paul Allyn, Mel Fair, Cristian Gonzalez, Matthew Cornwell, John Wilkins III, John Cola, Michael A. Dean, Marcus Aveons Duncan, Alexander Goldstein, Grant Henley, Rachel Trautmann, Victor Zheng, Michael Neal, Brandon Herron, Jay Shadix, Melisa Lopez, Elbert Kim",7.2,71.0,United States,English
245429,Spirited Away,2001,Hayao Miyazaki,Hayao Miyazaki,Joe Hisaishi,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Akio Nakamura, Yumi Tamai, Ryunosuke Kamiki, Tatsuya Gashûin, Yo Oizumi, Ken Yasuda, Koba Hayashi, Shigeru Wakita, Shirou Saitou, Michiko Yamamoto, Keiko Tsukamoto, Shinji Tokumaru, Kaori Yamagata, Tsuzuki Kayako, Masahiro Asano, Kazutaka Hayashida, Ikuko Yamamoto, Mina Meguro, Tetsurô Ishibashi, Katsutomo Shîbara, Shinobu Katabuchi, Noriko Kitou, Naoto Kaji, Yoshitaka Sukegawa, Aki Tachikawa, Noriko Yamaya, Katsuhisa Matsuo, Masayuki Kizu, Yôko Ôno, Sachie Azuma, Shigeyuki Totsugi, Mayumi Saco, Sonoko Soeda, Akiko Tomihira, Minako Masuda, Orika Ono, Rina Yamada, Miwa Takachi, Hiromi Takeuchi, Makiko Oku",8.6,96.0,Japan,Japanese
2267998,Gone Girl,2014,David Fincher,Gillian Flynn,"Trent Reznor, Atticus Ross","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon, Kim Dickens, Patrick Fugit, David Clennon, Lisa Banes, Missi Pyle, Emily Ratajkowski, Casey Wilson, Lola Kirke, Boyd Holbrook, Sela Ward, Lee Norris, Jamie McShane, Leonard Kelly-Young, Kathleen Rose Perkins, Pete Housman, Lynn Adrianna, Mark Atteberry, Darin Cooper, Kate Campbell, Brett Leigh, Antonio St. James, Lauren Glazier, Julia Prud'homme, Cooper Thornton, Casey Ruggieri, Cyd Strittmatter, Ashley Didion, Lexis Nutt, L.A. Williams, Blake Sheldon, Sean Guse, Ricky Wood, Fred Cross, Scott Takeda, Donna Rusch, Kathy Sweeney-Meadows, Mark T Anderson, Scoot McNairy, Christina Alex, Samuel Baca, Bill Blair, Thomas R. Baker, Gregoer Boru, Will C., Caroline Clements, Nancy DeMars, Davina Joy, Michael James Kelly, Elester Latham, Aaron Massey, Orion McCabe, Roz McHenry, Bryan McKinley, Teebone Mitchell, Justin Nesbitt, Mark Parrish, Jaclyn Rose, Sahlima, Joel Shock, Robert Tarpinian, Tracy Weisert, Michelle Winters, Tracy Brotherton, Matilde Matteucci, Dale Shane, Joey Courteau, Kyle Hinton",8.1,79.0,United States,English
81505,The Shining,1980,Stanley Kubrick,"Stanley Kubrick, Diane Johnson","Wendy Carlos, Rachel Elkind","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Anne Jackson, Tony Burton, Lia Beldam, Billie Gibson, Barry Dennen, David Baxt, Manning Redwood, Lisa Burns, Louise Burns, Robin Pappas, Alison Coleridge, Burnell Tucker, Jana Shelden, Kate Phelps, Norman Gay, Paul Desbois, Vivian Kubrick, Derek Lyons, Alan Harris, Peter McNamara, Guy Standeven, Reg Thomason",8.4,68.0,United States,English
